,tweet_id,retweet_count,favorite_count,retweet_status
420, 766714921925144576,438,2872,original tweet
421, 766423258543644672,1825,6671,original tweet
423, 766008592277377025,571,4149,original tweet
424, 765669560888528897,1407,5760,original tweet
425, 765371061932261376,2475,7842,original tweet
426, 764857477905154048,2029,7099,original tweet
427, 763956972077010945,61,812,original tweet
428, 763183847194451968,1702,6004,original tweet
429, 763103485927849985,2602,8163,original tweet
430, 762471784394268675,7612,12571,original tweet
431, 762316489655476224,1298,5350,original tweet
432, 761976711479193600,2310,5992,original tweet
433, 761745352076779520,979,4707,original tweet
434, 761599872357261312,1336,4578,original tweet
435, 761334018830917632,1669,5792,original tweet
436, 761227390836215808,1775,5908,original tweet
437, 760893934457552897,1104,4228,original tweet
438, 760641137271070720,1481,5485,original tweet
439, 760521673607086080,1608,4681,original tweet
440, 760252756032651264,995,4338,original tweet
442, 759923798737051648,6521,16284,original tweet
443, 759793422261743616,2173,6620,original tweet
444, 759557299618865152,1341,5202,original tweet
445, 759446261539934208,315,287,original tweet
447, 759047813560868866,2302,7227,original tweet
448, 758828659922702336,4376,12376,original tweet
449, 758474966123810816,1132,4227,original tweet
450, 758405701903519748,2204,5756,original tweet
451, 758099635764359168,11550,21302,original tweet
452, 757741869644341248,3710,7613,original tweet
453, 757725642876129280,1391,5022,original tweet
455, 757400162377592832,7759,16743,original tweet
456, 757354760399941633,1637,4995,original tweet
457, 756939218950160384,2295,7342,original tweet
458, 756526248105566208,4169,11506,original tweet
459, 756288534030475264,15071,28519,original tweet
460, 755955933503782912,3285,8092,original tweet
461, 755110668769038337,12621,23446,original tweet
462, 754856583969079297,2870,7616,original tweet
463, 754482103782404096,2220,5852,original tweet
464, 754120377874386944,2670,8655,original tweet
465, 753655901052166144,2492,6458,original tweet
466, 753398408988139520,2186,6384,original tweet
468, 753039830821511168,24013,41080,original tweet
469, 752932432744185856,7798,13970,original tweet
471, 752660715232722944,1794,4878,original tweet
472, 752519690950500352,3917,8157,original tweet
474, 751950017322246144,1060,3415,original tweet
475, 751830394383790080,2227,6428,original tweet
476, 751598357617971201,3440,8699,original tweet
477, 751538714308972544,1445,5547,original tweet
478, 751251247299190784,6695,13791,original tweet
479, 751132876104687617,1480,5610,original tweet
480, 750719632563142656,5747,14621,original tweet
481, 750429297815552001,4947,14569,original tweet
482, 750381685133418496,39,758,original tweet
483, 750132105863102464,1440,3990,original tweet
484, 750101899009982464,959,3344,original tweet
485, 750071704093859840,3802,8653,original tweet
486, 750041628174217216,703,3502,original tweet
487, 750011400160841729,1035,3568,original tweet
488, 749981277374128128,2772,5569,original tweet
489, 749417653287129088,1904,6721,original tweet
490, 749395845976588288,3951,9488,original tweet
491, 749075273010798592,2360,6353,original tweet
492, 749036806121881602,896,3425,original tweet
493, 748932637671223296,2564,6461,original tweet
494, 748699167502000129,1814,5213,original tweet
495, 748575535303884801,2272,6696,original tweet
496, 748346686624440324,1413,5735,original tweet
497, 748324050481647620,867,4078,original tweet
498, 748220828303695873,8825,15549,original tweet
499, 747933425676525569,2894,7310,original tweet
500, 747844099428986880,851,3084,original tweet
501, 747651430853525504,179,1520,original tweet
502, 747600769478692864,619,2545,original tweet
503, 747512671126323200,1803,6110,original tweet
504, 747439450712596480,2184,5965,original tweet
505, 747219827526344708,1791,5792,original tweet
506, 747103485104099331,4548,10534,original tweet
507, 746872823977771008,2429,6593,original tweet
508, 746790600704425984,1806,5345,original tweet
509, 746726898085036033,2037,6648,original tweet
511, 746369468511756288,1854,6637,original tweet
512, 746056683365994496,931,3904,original tweet
513, 745712589599014916,2636,7652,original tweet
514, 745422732645535745,2768,9412,original tweet
515, 745074613265149952,3976,8605,original tweet
516, 744995568523612160,716,3277,original tweet
517, 744709971296780288,1771,6150,original tweet
518, 744234799360020481,79515,131075,original tweet
519, 743980027717509120,1231,4551,original tweet
521, 743595368194129920,7445,20275,original tweet
522, 743510151680958465,4185,8671,original tweet
523, 743222593470234624,2164,6792,original tweet
524, 742534281772302336,4011,7744,original tweet
525, 742465774154047488,4382,7916,original tweet
526, 742385895052087300,2266,7457,original tweet
527, 742150209887731712,1783,5661,original tweet
528, 741743634094141440,3144,8945,original tweet
529, 741303864243200000,3650,9631,original tweet
530, 741067306818797568,3520,10342,original tweet
531, 740711788199743490,1062,3736,original tweet
532, 740676976021798912,7724,19881,original tweet
533, 740365076218183684,495,2727,original tweet
534, 740214038584557568,2220,7335,original tweet
535, 739932936087216128,1217,4443,original tweet
536, 739623569819336705,1547,4185,original tweet
537, 739544079319588864,24319,43694,original tweet
538, 739238157791694849,52360,75163,original tweet
539, 738885046782832640,1283,4127,original tweet
540, 738537504001953792,1759,5575,original tweet
541, 738184450748633089,1360,4727,original tweet
542, 738156290900254721,748,2768,original tweet
543, 737800304142471168,3904,10943,original tweet
544, 737445876994609152,5048,11302,original tweet
545, 737310737551491075,8329,16040,original tweet
546, 736392552031657984,8407,19450,original tweet
547, 736225175608430592,3115,8901,original tweet
548, 735991953473572864,1283,3934,original tweet
549, 735635087207878657,2659,6776,original tweet
550, 735256018284875776,993,3675,original tweet
551, 734912297295085568,572,2993,original tweet
552, 734776360183431168,608,2742,original tweet
553, 733828123016450049,881,3926,original tweet
554, 733482008106668032,1065,3438,original tweet
555, 733109485275860992,17621,44619,original tweet
556, 732726085725589504,1003,3855,original tweet
557, 732375214819057664,2838,8832,original tweet
558, 731285275100512256,1090,3798,original tweet
559, 730924654643314689,2234,6682,original tweet
560, 730427201120833536,1176,3809,original tweet
561, 730196704625098752,2172,5339,original tweet
562, 729838605770891264,431,1856,original tweet
563, 729463711119904772,2586,6340,original tweet
564, 728986383096946689,917,3460,original tweet
565, 728751179681943552,757,3032,original tweet
566, 728409960103686147,2269,5383,original tweet
567, 728046963732717569,1328,4722,original tweet
568, 728015554473250816,1219,4479,original tweet
569, 727644517743104000,1962,6431,original tweet
570, 727314416056803329,834,3623,original tweet
571, 727175381690781696,1540,4209,original tweet
572, 726935089318363137,2738,7496,original tweet
573, 726828223124897792,1124,3882,original tweet
574, 725842289046749185,2970,7691,original tweet
575, 725729321944506368,2009,5646,original tweet
576, 724983749226668032,1462,4040,original tweet
577, 724405726123311104,1847,5800,original tweet
578, 724046343203856385,620,2901,original tweet
579, 723912936180330496,1374,4236,original tweet
580, 723673163800948736,1011,3291,original tweet
581, 722974582966214656,1764,4493,original tweet
582, 721503162398597120,2124,5086,original tweet
583, 720785406564900865,866,3400,original tweet
584, 720415127506415616,1681,4503,original tweet
585, 720340705894408192,1098,3131,original tweet
586, 720043174954147842,2253,5332,original tweet
587, 719704490224398336,1645,4974,original tweet
588, 719367763014393856,827,3022,original tweet
589, 719332531645071360,1078,3711,original tweet
590, 718939241951195136,1973,5720,original tweet
591, 718613305783398402,542,2669,original tweet
592, 718460005985447936,602,2846,original tweet
593, 718246886998687744,565,2115,original tweet
594, 717841801130979328,670,2660,original tweet
595, 717537687239008257,2069,6281,original tweet
